Data,Preco_Real,Preco_Previsto,Erro_Abs,Erro_%,Sinal,Posicao,Capital_Acumulado
2023-08-09,26.96785926818849,27.479033,0.5111732482910014,1.8954906402006688,BUY,1,1087.7717003167982
2023-08-10,25.878250122070312,27.422743,1.5444927215576172,5.968304326112041,SELL,0,1043.82138220787
2023-08-11,26.150651931762695,27.284636,1.1339836120605469,4.336349300275781,BUY,1,1043.82138220787
2023-08-14,25.78744888305664,27.128393,1.3409442901611328,5.199988165724239,SELL,0,1029.3238809864192
2023-08-15,25.15184211730957,26.959044,1.8072013854980469,7.185165114623257,BUY,1,1029.3238809864192
2023-08-16,26.96785926818849,26.595602,0.37225723266602984,1.3803736847038042,SELL,0,1103.6432812499147
2023-08-17,25.605846405029297,26.230978,0.6251316070556641,2.4413627933536333,HOLD,0,1103.6432812499147
2023-08-18,27.240262985229492,26.086813,1.1534500122070312,4.234357108932712,HOLD,0,1103.6432812499147
2023-08-21,27.694265365600586,25.900274,1.7939910888671875,6.4778432111635915,HOLD,0,1103.6432812499147
2023-08-22,27.603466033935547,25.82176,1.7817058563232422,6.454645420733842,HOLD,0,1103.6432812499147
2023-08-23,27.785066604614258,25.835096,1.9499702453613281,7.018051362300845,HOLD,0,1103.6432812499147
2023-08-24,27.421863555908203,25.886976,1.5348873138427734,5.5973121983975185,HOLD,0,1103.6432812499147
2023-08-25,26.51385498046875,25.944838,0.5690174102783203,2.1461134591611937,HOLD,0,1103.6432812499147
2023-08-28,26.60465431213379,25.98879,0.6158638000488281,2.314872400984163,HOLD,0,1103.6432812499147
2023-08-29,26.60465431213379,25.997847,0.6068077087402344,2.280832900969072,HOLD,0,1103.6432812499147
2023-08-30,26.51385498046875,26.138342,0.37551307678222656,1.416290000299261,HOLD,0,1103.6432812499147
