Data,Preço_Real,Preço_Previsto,Erro_Absoluto,Erro_Percentual,Sinal,Posição,Capital_Acumulado
2023-04-19,29.510284423828125,34.714382,5.204097747802734,17.634861369213635,BUY,1,1028.399886463877
2023-04-20,29.964288711547866,34.367847,4.403558731079087,14.69602290069382,HOLD,1,1044.221420110909
2023-04-24,30.781496047973647,34.18778,3.4062824249267436,11.066006732154852,HOLD,1,1072.70016738178
2023-04-25,29.782686233520508,34.128544,4.345857620239258,14.591892706266304,HOLD,1,1037.892780064523
2023-04-26,28.239070892334,34.05541,5.8163375854492045,20.596773908125122,SELL,0,984.0995390770412
2023-04-27,29.05627822875978,33.76672,4.7104415893554545,16.211441645313954,BUY,1,984.0995390770413
2023-04-28,30.327491760253906,33.649548,3.3220558166503906,10.953941865394073,HOLD,1,1027.1539399388023
2023-05-02,29.419483184814453,33.655163,4.235679626464844,14.397532410260652,HOLD,1,996.4008333801131
2023-05-03,30.327491760253906,33.735912,3.4084205627441406,11.238715650105595,HOLD,1,1027.1539399388023
2023-05-04,32.41591262817383,33.740566,1.3246536254882812,4.086430145227432,SELL,0,1097.8861237834844
2023-05-05,34.59513473510742,33.71049,0.8846435546875,2.5571328496366763,HOLD,0,1097.8861237834844
2023-05-08,35.13993835449219,33.8977,1.2422370910644531,3.5351145996124074,HOLD,0,1097.8861237834844
2023-05-09,37.59156036376953,34.31336,3.2782020568847656,8.720579899216615,HOLD,0,1097.8861237834844
2023-05-10,38.953575134277344,34.726368,4.227207183837891,10.85191068924029,BUY,1,1097.8861237834844
2023-05-11,39.498382568359375,35.40137,4.097011566162109,10.372605913853462,SELL,0,1113.24123611787
2023-05-12,39.13517761230469,36.14738,2.9877967834472656,7.63455531758685,HOLD,0,1113.24123611787
2023-05-15,39.77078628540039,36.93886,2.8319244384765625,7.120614659600393,BUY,1,1113.24123611787
2023-05-16,30.69069480895996,37.60683,6.916135787963867,22.534959964297528,HOLD,1,859.0764784297227
2023-05-17,30.50909423828125,37.442776,6.933681488037109,22.726605496327977,HOLD,1,859.0764784297227
2023-05-18,32.14350891113281,37.23528,5.091770172119141,15.840741551261134,HOLD,1,859.0764784297227
2023-05-19,33.051517486572266,36.982563,3.9310455322265625,11.893691519076592,HOLD,1,859.0764784297227
2023-05-22,34.50433349609375,36.871426,2.3670921325683594,6.860274906734073,HOLD,1,859.0764784297227
2023-05-23,33.23311996459961,36.911907,3.6787872314453125,11.069641476226153,HOLD,1,859.0764784297227
2023-05-24,32.960716247558594,36.91785,3.957134246826172,12.005607575713036,HOLD,1,859.0764784297227
2023-05-25,34.14112854003905,36.851444,2.7103157043457173,7.938565068718193,HOLD,1,859.0764784297227
2023-05-26,34.685935974121094,36.820736,2.1347999572753906,6.154655762693411,HOLD,1,859.0764784297227
2023-05-29,34.41353225708008,37.035526,2.6219940185546875,7.619078445559016,HOLD,1,859.0764784297227
2023-05-30,33.86872863769531,37.423473,3.5547447204589844,10.495654438302756,HOLD,1,859.0764784297227
2023-05-31,34.50433349609375,37.50826,3.003925323486328,8.705936382821026,HOLD,1,859.0764784297227
2023-06-01,36.86515808105469,37.672245,0.8070869445800781,2.189294679831705,HOLD,1,859.0764784297227
